"","x","y"
"17_9",4382.16666666667,2371.33333333333
"18_10",4635.8,2634.2
"18_11",4625.25,2887.25
"18_12",4624.75,3112
"18_13",4614.2,3364.8
"18_14",4623,3618
"18_15",4632.2,3870.6
"18_16",4621.75,4123.75
"18_17",4611.2,4376.6
"18_18",4620,4629.5
"18_19",4629.2,4882.4
"18_20",4618.75,5135.25
"18_21",4618,5360.25
"18_22",4607.4,5612.8
"18_23",4616.5,5866
"18_24",4625.6,6119
"18_25",4615,6371.75
"18_26",4604.4,6624.8
"18_27",4613.5,6877.5
"18_28",4622.6,7130.6
"18_29",4612,7383.25
"18_30",4601.4,7636.4
"18_31",4610.25,7889
"18_32",4610,8058
"18_7",4628,1932
"18_8",4617.8,2128.4
"18_9",4627,2381.5
"19_10",4870.57142857143,2635.14285714286
"19_11",4869.83333333333,2878.5
"19_12",4869.16666666667,3103.5
"19_13",4868.375,3365.625
"19_14",4867.5,3628
"19_15",4866.71428571429,3871.42857142857
"19_16",4866.16666666667,4115
"19_17",4865.25,4377.375
"19_18",4864.5,4639.5
"19_19",4863.71428571429,4883.28571428571
"19_20",4863.16666666667,5126.5
"19_21",4862.33333333333,5351.5
"19_22",4861.5,5613.75
"19_23",4860.83333333333,5876
"19_24",4860,6119.71428571429
"19_25",4859.16666666667,6363
"19_26",4858.5,6625.5
"19_27",4857.83333333333,6887.66666666667
"19_28",4857,7131.28571428571
"19_29",4856.16666666667,7374.83333333333
"19_30",4841.57142857143,7620.85714285714
"19_31",4855,7862
"19_7",4840.33333333333,1904.33333333333
"19_8",4858,2145.14285714286
"19_9",4871.33333333333,2391.5
"20_10",5105.2,2635.8
"20_11",5114,2888.75
"20_12",5113.5,3113.5
"20_13",5122.6,3366.4
"20_14",5112,3619.25
"20_15",5101.4,3872.2
"20_16",5110.5,4125
"20_17",5119.6,4378.2
"20_18",5109,4631
"20_19",5098.4,4883.8
"20_20",5107.5,5137
"20_21",5107,5361.5
"20_22",5115.8,5614.6
"20_23",5105.25,5867.25
"20_24",5094.8,6120.4
"20_25",5104,6373
"20_26",5127.5,6640.25
"20_27",5151.16666666667,6870
"20_28",5164.57142857143,7116
"20_29",5125.5,7371
"20_30",5083.66666666667,7637.66666666667
"20_31",5100,7778
"20_7",5133.33333333333,1849
"20_8",5126.2,2130
"20_9",5115.75,2382.75
"21_10",5359.5,2636.5
"21_11",5358.83333333333,2898.66666666667
"21_12",5358,3123.5
"21_13",5357.28571428571,3367.28571428571
"21_14",5356.66666666667,3610.5
"21_15",5355.875,3873
"21_16",5355,4135.16666666667
"21_17",5354.28571428571,4378.71428571429
"21_18",5353.66666666667,4622.33333333333
"21_19",5352.875,4884.5
"21_20",5352,5147
"21_21",5351.33333333333,5371.66666666667
"21_22",5350.71428571429,5615.28571428571
"21_23",5350,5858.83333333333
"21_24",5349.125,6121
"21_25",5348.33333333333,6383.5
"21_26",5347.71428571429,6626.71428571429
"21_27",5396,6880
"21_28",5404.8,7133
"21_29",5394.25,7385.75
"21_30",5345,7526
"21_6",5460,1738
"21_7",5361.83333333333,1887
"21_8",5361,2130.71428571429
"21_9",5360.16666666667,2374.16666666667
"22_10",5604,2609
"22_11",5613.2,2862.2
"22_12",5651.5,3105.5
"22_13",5650.75,3368
"22_14",5649.83333333333,3630.5
"22_15",5649.28571428571,3873.71428571429
"22_16",5648.33333333333,4117.5
"22_17",5647.625,4379.625
"22_18",5646.83333333333,4642
"22_19",5646.14285714286,4885.42857142857
"22_20",5645.33333333333,5129
"22_21",5644.66666666667,5353.83333333333
"22_22",5658,5616
"22_23",5643.16666666667,5878.5
"22_24",5642.28571428571,6121.85714285714
"22_25",5641.66666666667,6365.5
"22_26",5640.875,6627.75
"22_27",5640,6890
"22_28",5639.28571428571,7133.57142857143
"22_29",5638.8,7358.2
"22_30",5736,7640
"22_6",5656,1738
"22_7",5606.25,1878.5
"22_8",5595.8,2131.4
"22_9",5605,2384.25
"23_10",5848.33333333333,2619.16666666667
"23_11",5847.71428571429,2862.71428571429
"23_12",5896,3116
"23_13",5904.8,3368.6
"23_14",5894.25,3621.75
"23_15",5883.8,3874.4
"23_16",5893,4127.5
"23_17",5901.8,4380.4
"23_18",5891.25,4633.25
"23_19",5880.8,4886.2
"23_20",5890,5139
"23_21",5889,5364
"23_22",5898.2,5616.8
"23_23",5871.66666666667,5841.66666666667
"23_24",5877.2,6122.8
"23_25",5886,6375.5
"23_26",5895.2,6628.6
"23_27",5884.75,6881.25
"23_28",5874.2,7134.4
"23_29",5883,7331
"23_6",5851,1739
"23_7",5850.66666666667,1870
"23_8",5849.875,2132
"23_9",5849,2394.5
"24_10",6142,2601.5
"24_11",6141.125,2863.625
"24_12",6140.33333333333,3126
"24_13",6139.71428571429,3369.42857142857
"24_14",6139,3613
"24_15",6138.125,3875.25
"24_16",6117.8,4122.4
"24_17",6136.71428571429,4381.28571428571
"24_18",6136,4624.5
"24_19",6121.14285714286,4870.85714285714
"24_20",6148.42857142857,5127.85714285714
"24_21",6133.83333333333,5374
"24_22",6133,5617.57142857143
"24_23",6132.16666666667,5861
"24_24",6131.5,6123.5
"24_25",6130.83333333333,6385.5
"24_26",6130,6629.28571428571
"24_27",6129.16666666667,6872.83333333333
"24_28",6128.5,7135
"24_29",6128,7341.33333333333
"24_6",6144.5,1739.5
"24_7",6144,1889.5
"24_8",6143.28571428571,2133
"24_9",6142.66666666667,2376.5
"25_10",6386.5,2611.5
"25_11",6395.6,2864.4
"25_12",6385,3117.25
"25_13",6374.4,3370.2
"25_14",6383.5,3623
"25_15",6392.6,3876.2
"25_16",6382,4128.75
"25_17",6364.66666666667,4438
"25_18",6380.25,4635
"25_19",6379.75,4859.5
"25_20",6388.6,5112.6
"25_21",6378.25,5365.25
"25_22",6367.6,5618.4
"25_23",6376.75,5871
"25_24",6385.6,6124.2
"25_25",6375.25,6377
"25_26",6364.4,6629.8
"25_27",6373.5,6883
"25_28",6382.6,7135.8
"25_29",6323,7304
"25_7",6388.5,1937
"25_8",6378.2,2133.8
"25_9",6387,2386.5
"26_10",6630.83333333333,2621.5
"26_11",6630,2865.14285714286
"26_12",6629.16666666667,3108.5
"26_13",6628.5,3371
"26_14",6627.83333333333,3633.16666666667
"26_15",6627,3876.71428571429
"26_16",6626.16666666667,4120.33333333333
"26_17",6576.5,4410.5
"26_18",6624.83333333333,4644.83333333333
"26_19",6624,4869.5
"26_20",6623.28571428571,5113.28571428571
"26_21",6622.66666666667,5356.83333333333
"26_22",6621.875,5619
"26_23",6621,5881.5
"26_24",6620.28571428571,6124.71428571429
"26_25",6619.66666666667,6368.5
"26_26",6618.875,6630.625
"26_27",6618,6893
"26_28",6568.5,7108
"26_7",6682,1881.75
"26_8",6632.25,2134.5
"26_9",6631.33333333333,2396.66666666667
"27_10",6875.25,2612.75
"27_11",6864.8,2865.8
"27_12",6874,3118.75
"27_13",6882.8,3371.6
"27_14",6872.25,3624.75
"27_15",6861.8,3877.4
"27_16",6871,4130.5
"27_17",6919,4271
"27_18",6869.25,4636.25
"27_19",6868.75,4861
"27_20",6858.2,5113.8
"27_21",6867,5367
"27_22",6876.2,5619.6
"27_23",6865.75,5872.75
"27_24",6855.2,6125.6
"27_25",6864,6378.5
"27_26",6873.2,6631.4
"27_27",6814,6856
"27_7",6877.5,1882.25
"27_8",6886.6,2135.2
"27_9",6876,2388.25
"28_10",7120,2604.33333333333
"28_11",7119.125,2866.5
"28_12",7118.33333333333,3128.83333333333
"28_13",7117.71428571429,3372.28571428571
"28_14",7117,3616
"28_15",7116.125,3878.125
"28_16",7095.8,4125.4
"28_17",7017,4384
"28_18",7114,4683.66666666667
"28_19",7113.16666666667,4852.5
"28_20",7112.375,5114.625
"28_21",7111.66666666667,5377
"28_22",7110.85714285714,5620.42857142857
"28_23",7110.16666666667,5864
"28_24",7076.83333333333,6107.5
"28_25",7043.66666666667,6369.66666666667
"28_26",7010,6576
"28_7",7122,1911.2
"28_8",7121.28571428571,2135.85714285714
"28_9",7120.66666666667,2379.5
"29_10",7364.25,2614.5
"29_11",7373.2,2867.2
"29_12",7362.75,3120.25
"29_13",7352.2,3373
"29_14",7361,3626
"29_15",7370.2,3879
"29_16",7359.75,4131.75
"29_18",7309,4609
"29_19",7357.5,4862.5
"29_20",7366.6,5115.4
"29_21",7356,5368.25
"29_22",7345.4,5621.2
"29_23",7371,5846
"29_24",7402.5,6183.5
"29_7",7318,1912
"29_8",7356,2136.6
"29_9",7365,2389.5
"30_10",7608.83333333333,2624.5
"30_11",7608,2868.14285714286
"30_12",7607.16666666667,3111.5
"30_13",7606.5,3374
"30_14",7605.83333333333,3636
"30_15",7605,3879.71428571429
"30_16",7604.16666666667,4123.16666666667
"30_17",7506,4385
"30_18",7505,4666
"30_19",7626.5,4905.25
"30_20",7601.28571428571,5116.28571428571
"30_21",7600.66666666667,5359.5
"30_22",7599.875,5622
"30_23",7599,5884.16666666667
"30_24",7550,6043
"30_8",7596.14285714286,2121.28571428571
"30_9",7623.42857142857,2378.14285714286
"31_10",7853.25,2615.75
"31_11",7887.42857142857,2885
"31_12",7900.83333333333,3131
"31_13",7900,3374.71428571429
"31_14",7899.16666666667,3618.33333333333
"31_15",7898.5,3880.5
"31_16",7878.4,4127.8
"31_17",7848,4302
"31_18",7863.33333333333,4667.33333333333
"31_19",7830.66666666667,4835.66666666667
"31_20",7908.85714285714,5133.14285714286
"31_21",7893.83333333333,5379.5
"31_22",7893.28571428571,5622.71428571429
"31_23",7868.25,5833.75
"31_8",7838.66666666667,2138
"31_9",7863.8,2363
"32_10",8097.83333333333,2607.16666666667
"32_11",8129.66666666667,2850.83333333333
"32_12",8145.25,3122.5
"32_13",8134.4,3375.4
"32_14",8143.5,3628.5
"32_15",8126.66666666667,3843.66666666667
"32_17",8093,4275
"32_18",8189.5,4612
"32_19",8140,4865
"32_20",8148.8,5117.6
"32_21",8138.25,5370.75
"32_22",8127.8,5623.4
"32_23",8088,5848
"32_8",8001,2195
"32_9",8098.57142857143,2363.71428571429
"33_10",8366.5,2631.25
"33_11",8409.8,2881.6
"33_12",8389.66666666667,3114
"33_13",8375,3359.85714285714
"33_14",8322.66666666667,3619.66666666667
"33_17",8288,4388
"33_18",8311.75,4626.5
"33_19",8364.8,4882.4
"33_20",8367.5,5109
"33_21",8334,5371.25
"33_22",8333.25,5596
"33_9",8294,2477
"34_11",8586,2983
"34_12",8585,3096
"5_10",1399,2597
"5_11",1447,2793
"5_12",1407.2,3130.6
"5_13",1396.75,3383.25
"5_14",1386.2,3636.4
"5_15",1395,3889
"5_16",1394.5,4114
"5_17",1403.6,4367
"5_18",1393,4619.75
"5_19",1382.4,4872.8
"5_20",1391.5,5125.75
"5_21",1391,5350.5
"5_22",1373.66666666667,5640.66666666667
"5_23",1379.4,5884.4
"5_24",1388.5,6137.25
"5_25",1388,6362
"5_26",1396.8,6615.2
"5_27",1386.25,6868
"5_28",1375.8,7120.8
"5_29",1385,7374
"5_30",1393.8,7626.6
"5_31",1383.25,7879.75
"5_32",1398.33333333333,8170
"6_10",1643.6,2591.6
"6_11",1594,2878
"6_12",1641.85714285714,3131.28571428571
"6_13",1641.16666666667,3374.83333333333
"6_14",1626.42857142857,3620.85714285714
"6_15",1639.66666666667,3862
"6_16",1638.8,4142.8
"6_17",1638.14285714286,4367.71428571429
"6_18",1637.33333333333,4611.16666666667
"6_19",1636.625,4873.5
"6_20",1635.83333333333,5135.83333333333
"6_21",1635.14285714286,5379.28571428571
"6_22",1653.8,5638
"6_23",1633.5,5885
"6_24",1632.83333333333,6147.5
"6_25",1632,6372.16666666667
"6_26",1631.28571428571,6615.71428571429
"6_27",1630.66666666667,6859.5
"6_28",1629.875,7121.5
"6_29",1629,7384
"6_30",1628.28571428571,7627.42857142857
"6_31",1627.66666666667,7871
"6_32",1627,8099.6
"6_33",1724,8471
"6_9",1644,2457
"7_10",1936.5,2682.5
"7_11",1903.33333333333,2869.66666666667
"7_12",1886,3160
"7_13",1885.5,3385
"7_14",1885,3609.75
"7_15",1893.8,3862.6
"7_16",1883.25,4115.5
"7_17",1872.8,4368.4
"7_18",1882,4621.25
"7_19",1890.8,4874.2
"7_20",1880.25,5127.25
"7_21",1869.8,5380
"7_22",1879,5633
"7_23",1887.8,5886
"7_24",1877.25,6138.75
"7_25",1876.75,6363.75
"7_26",1866.2,6616.4
"7_27",1875,6869.5
"7_28",1884.2,7122.2
"7_29",1873.75,7375.25
"7_30",1863.2,7628.2
"7_31",1872,7881
"7_32",1872,8050
"7_9",1888,2429
"8_10",2152,2615.4
"8_11",2156,2865.75
"8_12",2130.875,3132.625
"8_13",2130,3395
"8_14",2129.33333333333,3619.66666666667
