"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Psma2",3,"DE_by_Domain",TRUE,FALSE,5.38385151625573e-72
"Lgi3",7,"DE_by_Domain",TRUE,FALSE,1.90053860676299e-71
"Pgbd5",2,"DE_by_Domain",TRUE,FALSE,2.69785605122197e-71
"Scn5a",4,"DE_by_Domain",TRUE,FALSE,4.40021520043147e-71
"Ptp4a3",2,"DE_by_Domain",TRUE,FALSE,8.89524441758523e-71
"0610012G03Rik",2,"DE_by_Domain",TRUE,FALSE,9.37784964057375e-71
"Slc9a3r1",7,"DE_by_Domain",TRUE,FALSE,1.09336485077798e-70
"Snrpf",3,"DE_by_Domain",TRUE,FALSE,1.41407702730715e-70
"Mrpl33",3,"DE_by_Domain",TRUE,FALSE,3.58871203791632e-70
"Car12",6,"DE_by_Domain",TRUE,FALSE,5.63744226419178e-70
"Hap1",3,"DE_by_Domain",TRUE,FALSE,2.67030201397525e-69
"Spryd3",3,"DE_by_Domain",TRUE,FALSE,4.98541537317764e-69
"Srp9",3,"DE_by_Domain",TRUE,FALSE,6.19498715284277e-69
"Park7",3,"DE_by_Domain",TRUE,FALSE,6.31660722877499e-69
"Chtop",3,"DE_by_Domain",TRUE,FALSE,5.35151804507576e-68
"Mchr1",6,"DE_by_Domain",TRUE,FALSE,7.67550933829824e-68
"Ssu72",2,"DE_by_Domain",TRUE,FALSE,4.32052338351236e-67
"Cygb",4,"DE_by_Domain",TRUE,FALSE,5.39018602285647e-67
"Tspoap1",3,"DE_by_Domain",TRUE,FALSE,9.27371963755042e-67
"Ier3ip1",3,"DE_by_Domain",TRUE,FALSE,1.16225207575685e-66
"Atp6v1h",2,"DE_by_Domain",TRUE,FALSE,1.17680148098181e-66
"Spryd3",2,"DE_by_Domain",TRUE,FALSE,5.19286059328175e-66
"Tmem200a",2,"DE_by_Domain",TRUE,FALSE,1.05381795451424e-65
"Coprs",4,"DE_by_Domain",TRUE,FALSE,1.94521456819166e-65
"0610012G03Rik",3,"DE_by_Domain",TRUE,FALSE,5.32387691647002e-65
"Stau2",3,"DE_by_Domain",TRUE,FALSE,1.5705711172749e-64
"Ssbp2",3,"DE_by_Domain",TRUE,FALSE,2.06111487556158e-64
"Camkk2",1,"DE_by_Domain",TRUE,FALSE,2.4612194959767e-64
"Snap47",8,"DE_by_Domain",TRUE,FALSE,2.83179743466448e-64
"Gm47283",3,"DE_by_Domain",TRUE,FALSE,3.96265990835624e-64
"P4htm",3,"DE_by_Domain",TRUE,FALSE,2.01151349691216e-63
"Smpd3",6,"DE_by_Domain",TRUE,FALSE,2.06203510815575e-63
"Isca1",2,"DE_by_Domain",TRUE,FALSE,4.69251000464317e-63
"Idh3b",2,"DE_by_Domain",TRUE,FALSE,8.83051626442285e-63
"Ap3m2",3,"DE_by_Domain",TRUE,FALSE,1.0468104648677e-62
"Uba1",2,"DE_by_Domain",TRUE,FALSE,2.1257406958337e-62
"Tceal5",2,"DE_by_Domain",TRUE,FALSE,4.34420726166793e-62
"Cyth2",5,"DE_by_Domain",TRUE,FALSE,1.20200519485204e-61
"Isca1",3,"DE_by_Domain",TRUE,FALSE,1.38488214757562e-61
"Esrra",7,"DE_by_Domain",TRUE,FALSE,6.87445224037878e-61
"Pdzd2",4,"DE_by_Domain",TRUE,FALSE,2.02931468950068e-60
"Zcrb1",2,"DE_by_Domain",TRUE,FALSE,2.27807291560702e-60
"Nwd2",2,"DE_by_Domain",TRUE,FALSE,2.53337550085557e-60
