"","x","y"
"18_6",4558,1687
"18_7",4606.25,1883.75
"18_8",4595.4,2136.6
"18_9",4604.5,2389.25
"19_10",4848,2624.5
"19_11",4863.66666666667,2858.33333333333
"19_12",4895.5,3121
"19_13",4904.2,3373.6
"19_14",4893.75,3626.5
"19_15",4883.2,3879.2
"19_16",4892,4132
"19_17",4900.8,4385
"19_18",4890.25,4637.75
"19_19",4889.75,4862.5
"19_20",4878.8,5115.4
"19_21",4888,5368
"19_22",4896.8,5621.2
"19_23",4886.25,5873.75
"19_24",4875.6,6126.8
"19_25",4884.5,6379.5
"19_26",4883.75,6660.5
"19_27",4883,6829
"19_28",4882.25,7110
"19_29",4871.4,7362.8
"19_30",4880.5,7615.5
"19_31",4889.4,7868.4
"19_6",4851,1706.66666666667
"19_7",4850.66666666667,1875.16666666667
"19_8",4817.16666666667,2137.33333333333
"19_9",4862.85714285714,2378.14285714286
"20_10",5141.5,2606.5
"20_11",5140.5,2868.75
"20_12",5139.83333333333,3131
"20_13",5139,3374.42857142857
"20_14",5138.16666666667,3618
"20_15",5137.125,3880
"20_16",5136.33333333333,4142.5
"20_17",5135.71428571429,4385.71428571429
"20_18",5134.66666666667,4629.16666666667
"20_19",5134.16666666667,4854
"20_20",5133.125,5116
"20_21",5132.33333333333,5378.5
"20_22",5131.42857142857,5621.71428571429
"20_23",5130.66666666667,5865.33333333333
"20_24",5129.875,6127.5
"20_25",5128.83333333333,6389.66666666667
"20_26",5128.14285714286,6633.28571428571
"20_27",5127.25,6885.75
"20_28",5126.66666666667,7101.5
"20_29",5139.71428571429,7379.71428571429
"20_30",5124.83333333333,7625.83333333333
"20_31",5124,7869.28571428571
"20_32",5147.75,8080
"20_6",5144.66666666667,1726.33333333333
"20_7",5143.83333333333,1894.83333333333
"20_8",5143,2119.5
"20_9",5142.28571428571,2363.14285714286
"21_10",5386,2616.75
"21_11",5394.8,2869.6
"21_12",5384.25,3122.25
"21_13",5373.4,3375.2
"21_14",5382.5,3628
"21_15",5391.6,3881
"21_16",5380.75,4133.75
"21_17",5370.2,4386.6
"21_18",5379,4639.5
"21_19",5378.5,4864
"21_20",5387.2,5117.2
"21_21",5376.75,5369.75
"21_22",5366.2,5622.6
"21_23",5375,5875.5
"21_24",5384,6128.2
"21_25",5373.25,6381.25
"21_26",5362.8,6633.8
"21_27",5371.75,6887
"21_28",5371,7111.5
"21_29",5386.33333333333,7383
"21_30",5369.25,7617.25
"21_31",5358.6,7870
"21_32",5367.5,8123
"21_33",5416,8264
"21_7",5388.25,1886.25
"21_8",5387.5,2111
"21_9",5376.8,2363.8
"22_10",5630.33333333333,2626.83333333333
"22_11",5629.28571428571,2870.42857142857
"22_12",5628.66666666667,3113.83333333333
"22_13",5627.875,3376
"22_14",5626.83333333333,3638.16666666667
"22_15",5626,3881.71428571429
"22_16",5625.16666666667,4125.16666666667
"22_17",5610.57142857143,4371.28571428571
"22_18",5637.57142857143,4628.14285714286
"22_19",5622.83333333333,4874.5
"22_20",5622,5117.71428571429
"22_21",5621.16666666667,5361.33333333333
"22_22",5620.25,5623.5
"22_23",5619.33333333333,5885.66666666667
"22_24",5618.71428571429,6129.14285714286
"22_25",5617.8,6353.8
"22_26",5617,6634.75
"22_27",5616,6897
"22_28",5635,7106.8
"22_29",5614.57142857143,7365.28571428571
"22_30",5613.66666666667,7608.5
"22_31",5580.33333333333,7870.83333333333
"22_32",5592.2,8140.4
"22_33",5631,8343
"22_7",5613,1892.8
"22_8",5632,2102.5
"22_9",5631,2364.75
"23_10",5874.75,2618.25
"23_11",5864.2,2871.2
"23_12",5873,3124
"23_13",5881.8,3376.8
"23_14",5871.25,3629.75
"23_15",5860.8,3882.4
"23_16",5869.5,4135.25
"23_17",5869,4360
"23_18",5877.8,4613
"23_19",5867.25,4865.75
"23_20",5856.4,5118.6
"23_21",5865.5,5371.5
"23_22",5865,5596
"23_23",5880,5868
"23_24",5853.4,6129.8
"23_25",5862,6383
"23_26",5861.5,6635.5
"23_27",5860.5,6888.5
"23_28",5859.75,7113.25
"23_29",5849.2,7365.8
"23_30",5858,7619
"23_31",5881.5,7885.75
