"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Ift43",NA,"LRT_results",FALSE,TRUE,4.57138284618142e-112
"Cmtm3",NA,"LRT_results",FALSE,TRUE,1.1384997099601e-111
"Ccdc24",NA,"LRT_results",FALSE,TRUE,4.23513453270876e-111
"Gm9484",NA,"LRT_results",FALSE,TRUE,4.32517925267211e-111
"Hpn",NA,"LRT_results",FALSE,TRUE,6.90825308125845e-111
"Glra3",4,"DE_by_Domain",TRUE,FALSE,4.57315529511575e-110
"P2rx1",NA,"LRT_results",FALSE,TRUE,1.500104459268e-109
"Cdc42",3,"DE_by_Domain",TRUE,FALSE,1.85705602991744e-109
"Zfp54",NA,"LRT_results",FALSE,TRUE,1.95257785367505e-109
"4933421O10Rik",NA,"LRT_results",FALSE,TRUE,6.7040591793294e-109
"Rdm1",NA,"LRT_results",FALSE,TRUE,8.45496804308729e-109
"Wbp2",3,"DE_by_Domain",TRUE,FALSE,1.12077565152658e-108
"Got1l1",NA,"LRT_results",FALSE,TRUE,1.17613167995464e-108
"Gm7160",NA,"LRT_results",FALSE,TRUE,1.82781404431261e-108
"1700088E04Rik",NA,"LRT_results",FALSE,TRUE,3.94756172859651e-108
"Ctns",NA,"LRT_results",FALSE,TRUE,4.57747897990277e-108
"Zfp58",NA,"LRT_results",FALSE,TRUE,1.06206216041209e-107
"Ap3m2",2,"DE_by_Domain",TRUE,FALSE,4.71178151694322e-107
"Cdyl2",NA,"LRT_results",FALSE,TRUE,5.15600203129887e-107
"Amot",NA,"LRT_results",FALSE,TRUE,1.80523317637427e-106
"Pde3a",NA,"LRT_results",FALSE,TRUE,1.85847891977392e-106
"9030612E09Rik",NA,"LRT_results",FALSE,TRUE,5.91196812180626e-106
"Gm34121",NA,"LRT_results",FALSE,TRUE,7.95277303606344e-106
"Col3a1",NA,"LRT_results",FALSE,TRUE,3.37633022820299e-105
"Samd9l",NA,"LRT_results",FALSE,TRUE,5.86683293334973e-105
"Ifrd2",NA,"LRT_results",FALSE,TRUE,2.68481048618067e-104
"2210409D07Rik",NA,"LRT_results",FALSE,TRUE,7.33720126746498e-104
"Taf9",NA,"LRT_results",FALSE,TRUE,2.13151905598072e-103
"P3h2",NA,"LRT_results",FALSE,TRUE,1.93112312867322e-102
"Fgf17",NA,"LRT_results",FALSE,TRUE,2.29513596115923e-102
"Zfp566",NA,"LRT_results",FALSE,TRUE,3.08260695699964e-102
"Cfap70",NA,"LRT_results",FALSE,TRUE,3.57198108318913e-102
"Zfp229",NA,"LRT_results",FALSE,TRUE,4.22018077202052e-102
"Plekha7",7,"DE_by_Domain",TRUE,FALSE,5.33731013563443e-102
"Slc2a1",NA,"LRT_results",FALSE,TRUE,7.05632776744992e-102
"2810414N06Rik",NA,"LRT_results",FALSE,TRUE,1.22857884987619e-101
"Tmem140",NA,"LRT_results",FALSE,TRUE,3.10696602509451e-101
"Klf8",NA,"LRT_results",FALSE,TRUE,2.00639963383145e-100
"Celf5",4,"DE_by_Domain",TRUE,FALSE,3.29370787836155e-100
"3110045C21Rik",NA,"LRT_results",FALSE,TRUE,3.65149177167805e-100
"D630024D03Rik",NA,"LRT_results",FALSE,TRUE,4.74830559601201e-100
"Gm12359",NA,"LRT_results",FALSE,TRUE,5.59692428150659e-100
"Ptges",NA,"LRT_results",FALSE,TRUE,7.14024660616588e-100
"9230112J17Rik",NA,"LRT_results",FALSE,TRUE,7.66237816031231e-100
"Gm14308",NA,"LRT_results",FALSE,TRUE,1.08705685398363e-99
"Car12",8,"DE_by_Domain",TRUE,FALSE,1.59801821960584e-99
"Il17re",NA,"LRT_results",FALSE,TRUE,2.7228886181103e-99
"Nudt15",NA,"LRT_results",FALSE,TRUE,1.01700196101565e-98
"Epha2",NA,"LRT_results",FALSE,TRUE,1.33759129513982e-98
"Chrna1",NA,"LRT_results",FALSE,TRUE,2.0288828260069e-98
"Rln1",NA,"LRT_results",FALSE,TRUE,2.48173035029121e-98
"Camkk2",3,"DE_by_Domain",TRUE,FALSE,2.96389108967552e-98
"Slc23a1",NA,"LRT_results",FALSE,TRUE,3.10105747803652e-98
"Cnpy4",NA,"LRT_results",FALSE,TRUE,3.21681638858608e-98
