"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Samd9l",NA,"LRT_results",FALSE,TRUE,5.86683293334973e-105
"Ifrd2",NA,"LRT_results",FALSE,TRUE,2.68481048618067e-104
"2210409D07Rik",NA,"LRT_results",FALSE,TRUE,7.33720126746498e-104
"Taf9",NA,"LRT_results",FALSE,TRUE,2.13151905598072e-103
"P3h2",NA,"LRT_results",FALSE,TRUE,1.93112312867322e-102
"Fgf17",NA,"LRT_results",FALSE,TRUE,2.29513596115923e-102
"Zfp566",NA,"LRT_results",FALSE,TRUE,3.08260695699964e-102
"Cfap70",NA,"LRT_results",FALSE,TRUE,3.57198108318913e-102
"Zfp229",NA,"LRT_results",FALSE,TRUE,4.22018077202052e-102
"Slc2a1",NA,"LRT_results",FALSE,TRUE,7.05632776744992e-102
"2810414N06Rik",NA,"LRT_results",FALSE,TRUE,1.22857884987619e-101
"Tmem140",NA,"LRT_results",FALSE,TRUE,3.10696602509451e-101
"Klf8",NA,"LRT_results",FALSE,TRUE,2.00639963383145e-100
"3110045C21Rik",NA,"LRT_results",FALSE,TRUE,3.65149177167805e-100
"D630024D03Rik",NA,"LRT_results",FALSE,TRUE,4.74830559601201e-100
"Gm12359",NA,"LRT_results",FALSE,TRUE,5.59692428150659e-100
"Ptges",NA,"LRT_results",FALSE,TRUE,7.14024660616588e-100
"9230112J17Rik",NA,"LRT_results",FALSE,TRUE,7.66237816031231e-100
"Gm14308",NA,"LRT_results",FALSE,TRUE,1.08705685398363e-99
"Il17re",NA,"LRT_results",FALSE,TRUE,2.7228886181103e-99
"Nudt15",NA,"LRT_results",FALSE,TRUE,1.01700196101565e-98
"Epha2",NA,"LRT_results",FALSE,TRUE,1.33759129513982e-98
"Chrna1",NA,"LRT_results",FALSE,TRUE,2.0288828260069e-98
"Rln1",NA,"LRT_results",FALSE,TRUE,2.48173035029121e-98
"Slc23a1",NA,"LRT_results",FALSE,TRUE,3.10105747803652e-98
"Cnpy4",NA,"LRT_results",FALSE,TRUE,3.21681638858608e-98
"Lrrc25",NA,"LRT_results",FALSE,TRUE,4.772971443972e-98
"Bend4",NA,"LRT_results",FALSE,TRUE,2.57441443885468e-97
"Ctnna3",NA,"LRT_results",FALSE,TRUE,2.88406933726754e-97
"Gm5165",NA,"LRT_results",FALSE,TRUE,3.06370403074093e-97
"Fkbp9",NA,"LRT_results",FALSE,TRUE,3.93043802517582e-97
"Col19a1",NA,"LRT_results",FALSE,TRUE,5.59037901383478e-97
"Eps8l1",NA,"LRT_results",FALSE,TRUE,9.43821734958166e-96
"Ccm2l",NA,"LRT_results",FALSE,TRUE,5.18399739327603e-95
"Mfng",NA,"LRT_results",FALSE,TRUE,8.72217975780482e-95
"Il1rapl2",NA,"LRT_results",FALSE,TRUE,1.86302865428609e-94
"Lipc",NA,"LRT_results",FALSE,TRUE,2.72079867576422e-94
"Il6st",NA,"LRT_results",FALSE,TRUE,3.55970654271128e-94
"Smc2os",NA,"LRT_results",FALSE,TRUE,5.75235348752377e-94
"Samd11",NA,"LRT_results",FALSE,TRUE,9.0829788606377e-94
"Pigg",NA,"LRT_results",FALSE,TRUE,2.31270073012566e-93
"Gm16835",NA,"LRT_results",FALSE,TRUE,3.15287473024469e-93
"Ggnbp1",NA,"LRT_results",FALSE,TRUE,3.62368513197228e-93
"Rabl3",NA,"LRT_results",FALSE,TRUE,1.13710252209011e-92
"Six5",NA,"LRT_results",FALSE,TRUE,2.29804385962776e-92
"Popdc2",NA,"LRT_results",FALSE,TRUE,2.45877625525841e-92
"Ush1g",NA,"LRT_results",FALSE,TRUE,2.8236296062942e-92
"Myo10",NA,"LRT_results",FALSE,TRUE,3.95046209274531e-92
"Sult1c1",NA,"LRT_results",FALSE,TRUE,5.69499113179438e-92
"Gm4219",NA,"LRT_results",FALSE,TRUE,8.9585650836646e-92
"Haglr",NA,"LRT_results",FALSE,TRUE,2.4623859525097e-91
"Gm49785",NA,"LRT_results",FALSE,TRUE,4.99400572555596e-91
"D17H6S53E",NA,"LRT_results",FALSE,TRUE,6.64952910983697e-90
"Baiap2l1",NA,"LRT_results",FALSE,TRUE,1.03579229702832e-89
"Maff",NA,"LRT_results",FALSE,TRUE,1.29762369500026e-89
"Zfp991",NA,"LRT_results",FALSE,TRUE,1.38091656127517e-88
"Gm29508",NA,"LRT_results",FALSE,TRUE,3.47680473960023e-88
"Zfp758",NA,"LRT_results",FALSE,TRUE,4.02052639387638e-88
"Tmem255b",NA,"LRT_results",FALSE,TRUE,5.58514950319927e-88
"Ttc30b",NA,"LRT_results",FALSE,TRUE,4.10289597848443e-87
"Ddx60",NA,"LRT_results",FALSE,TRUE,7.17084263357901e-87
"Slc5a11",NA,"LRT_results",FALSE,TRUE,7.18974573285537e-87
"Rtp4",NA,"LRT_results",FALSE,TRUE,1.79683866290001e-86
"Cep164",NA,"LRT_results",FALSE,TRUE,4.3610209369778e-86
"Olfr624",NA,"LRT_results",FALSE,TRUE,4.38656078811605e-86
"0610040F04Rik",NA,"LRT_results",FALSE,TRUE,8.10822876198583e-86
"Tesk2",NA,"LRT_results",FALSE,TRUE,1.03127658868618e-85
